Metabolite,VIP_Score
7-Methylxanthosine,1.2371566169285326
"(2R,5S)-2,5-Diaminohexanoate",1.2305129345988723
Hypoxanthine,1.2287808863476313
(R)-Pantolactone,1.2279256772414935
Tryptophanamide,1.2272450271233548
D-Mannonate,1.2228250295105205
Fluconazole,1.2205668072547349
Tryptophanol,1.213776783459137
2-Keto-6-aminocaproate,1.212132946067393
(S)-beta-Tyrosine,1.2057430469570023
IPA_imine,1.2026921322339181
Isopimaric_acid,1.1992316435283392
"9,10-DHOME",1.1939528469725413
13-L-Hydroperoxylinoleic_acid,1.1918957758210023
Spermidine,1.1847991103542896
Sphinganine,1.1839710996503032
N(omega)-Hydroxyarginine,1.1809971054977388
N-Acetylornithine,1.1741228579724279
3-Amino-4-hydroxybenzoate,1.1704163126269744
Tetrahydroharmine,1.1685169838678549
4-Quinolinecarboxylic_acid,1.1664243697190193
Hippuric_acid,1.164697417332378
Imperatorin,1.159255116628838
Adipate_semialdehyde,1.158597496682361
2-Naphthylamine,1.1453306253503979
3-Hydroxyanthranilic_acid,1.1335378718986544
3-Dehydroshikimate,1.13305356332532
L-Dopa,1.1302111948079447
N-Acetyl-D-glucosamine,1.1295988722514356
"(1R,6S)-6-Amino-5-oxocyclohex-2-ene-1-carboxylate",1.1287514650203614
1-Methylnicotinamide,1.128555468442142
Phthalic_acid,1.1220263103540113
"2,6-Dimethylaniline",1.119418308648131
2-Heptanone,1.1182538821845893
"(3S,5S)-3,5-Diaminohexanoate",1.1076596460087518
Kynurenic_acid,1.103853608281726
4-Acetamido-2-aminobutanoic_acid,1.1001561400803943
Subaphylline,1.0846717219824278
Phenylacetaldehyde,1.0814791545324476
Melibiose,1.0758123020678945
Syringic_acid,1.0752903653028574
Emodin,1.0736011682655275
L-Histidine,1.071156053083937
4-Hydroxy-3-methoxy-cinnamoylglycine,1.0706212714880927
(5-L-Glutamyl)-L-glutamate,1.0679576377962674
Pyrrolidonecarboxylic_acid,1.063134423767567
gamma-L-Glutamyl-D-alanine,1.0533697349101037
24-Methylenecycloartanol,1.051494506113284
Pyrimidodiazepine,1.0503975803332393
(S)-3-Methyl-2-oxopentanoic_acid,1.0467955577086947
Mefloquine,1.0377357200460984
CMP,1.0364192038522786
(Z)-4-Hydroxy-6-dodecenoic_acid_lactone,1.0300099414250523
Phenylpyruvic_acid,1.029354284025937
cis-4-Hydroxy-D-proline,1.027356382561054
D-Glutamine,1.026610982460857
Prunasin,1.020512289109448
trans-Cinnamoyl_beta-D-glucoside,1.0201645615460901
Prephenate,1.0133385446757037
4-Hydroxycinnamic_acid,0.9992114010869123
Asymmetric_dimethylarginine,0.9983018372102094
Isoquinoline,0.9714221547175795
Nicotinic_acid,0.9544806274211114
L-threo-3-Methylaspartate,0.9540473923867799
trans-Isoasarone,0.9506640580577562
Ciliatine,0.9473404912212896
Ergothioneine,0.9388824706628264
Fisetin,0.9359249742864648
N(alpha)-Benzyloxycarbonyl-L-leucine,0.9316236470393959
(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate,0.9196414799542761
6-Hydroxyhexanoic_acid,0.9148636346394884
Betaine,0.9124224130437436
Acetylcysteine,0.9119937689375761
L-Serine,0.9085288298931243
L-Ribulose,0.9085165536267967
L-Homoserine,0.896396929588772
Homocitrulline,0.8961193123857932
Hydroquinone,0.8927182682030983
8-Hydroxyquinoline,0.889976862673811
L-Aspartic_acid,0.8883391291217421
Erythritol,0.8855099379492947
Xanthoxylin,0.8842919373074367
Enalaprilat,0.8801282243011336
Rivastigmine,0.8748629922960752
Deoxycytidine,0.8667446577919232
Kaempferide,0.8641186300580868
5'-Oxoinosine,0.8535048871319949
allopurinol,0.8513227065615535
m-Coumaric_acid,0.8508643631783152
1-Deoxynojirimycin,0.8484167107939647
N-Succinyl-L-citrulline,0.8286332982454251
Azelaic_acid,0.8234071800714139
Thymidine,0.8203631780803591
(S)-3-Hydroxy-N-methylcoclaurine,0.8153405784833557
Salicylic_acid,0.805279625577825
Myristic_acid,0.8020956958915819
Uracil,0.7976713248533682
L-Glutamic_gamma-semialdehyde,0.7941803837768423
"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate",0.7896691505499287
2-Isopropyl-3-oxosuccinate,0.788665117778162
(-)-Jasmonic_acid,0.7878564967720686
Alpha-dimorphecolic_acid,0.7855404108132992
N-Acetylputrescine,0.7839451478094661
Quinic_acid,0.7835057808999587
Lichenin,0.7818674765966298
(S)-2-amino-6-oxohexanoate,0.775461258893204
L-Cystathionine,0.7741761329070339
"3,4-Dihydroxyhydrocinnamic_acid",0.770101378321231
Capric_acid,0.7540888997055248
"3,4-Dihydro-2H-1-benzopyran-2-one",0.7535103480127839
Isopyridoxal,0.748960195002273
Styrene_Oxide,0.7459223192991056
Neocnidilide,0.745265791358014
Diaminopimelic_acid,0.7436684903858267
Benzaldehyde,0.7370912499677594
2'-Deoxyguanosine,0.7340066636466809
2-Pyrocatechuic_acid,0.7296841168978061
Phenacetin,0.7236126470306168
Resveratrol,0.7225202881647048
1H-Indole-3-acetamide,0.7188459309853401
Genistein,0.7161176074794429
"4,5-Dihydroorotic_acid",0.7161078970887158
gamma-Glutamyltyramine,0.7150212858622929
Glycitein,0.7134754109150463
Linatine,0.7127535869798772
3-Indoleacetonitrile,0.7120558613178617
Guanidoacetic_acid,0.711290930751476
N-Acetylneuraminic_acid,0.7081941593793734
Adenine,0.7056630394043547
Deoxyribose,0.7049581189480923
Metoclopramide,0.704517559948952
alpha-Ketoisovaleric_acid,0.7039377606088183
"2,5-Dihydroxybenzoate",0.7032618123062746
Mexiletine,0.7017770363844096
D-Arabitol,0.6977616832768563
O-Acetyl-L-homoserine,0.6933539571179841
D-Mannose,0.6905749007064048
2-Aminophenol,0.6889036152386692
Gulonic_acid,0.6874775402363292
Prostaglandin_J2,0.6871736260117758
10-Formyldihydrofolate,0.6849513490509875
L-Valine,0.6823303660506206
Nonadecanoic_acid,0.6818700645177318
L-Methionine,0.68124825829038
1-Aminocyclopropanecarboxylic_acid,0.6748380964352457
L-Theanine,0.6717395563307852
Adipic_acid,0.6687125246196988
(2S)-Liquiritigenin,0.6686681217845464
Sotalol,0.6656049102274961
2-Furoate,0.6592471426152704
4-Amino-4-deoxychorismate,0.6559273581772694
Biotin,0.6524328091539399
Sorbitol,0.6437135595313831
Taurine,0.6430226649434995
Indole-3-carboxylic_acid,0.6409228204322679
4-Pyridoxic_acid,0.640634105265797
Methyl_beta-D-galactoside,0.6351568225233805
Mesaconate,0.6275433386825666
3-Methyl-2-oxovaleric_acid,0.6264590500759917
L-Kynurenine,0.624028376002157
Nopaline,0.6201494725197932
4-Acetamidobutanoic_acid,0.613424011695062
D-Glycero-D-galacto-heptitol,0.6096217460435459
Dodecanoic_acid,0.6094322761684201
Dehydroepiandrosterone,0.6081690053208805
N2-gamma-Glutamylglutamine,0.6081514210460288
alpha-D-Mannose,0.5963999187203354
D-Alanyl-D-serine,0.5958484332570172
"9,10-Epoxyoctadecenoic_acid",0.592614358218676
Dimethylglycine,0.5924308310686001
Anabasine,0.5917675841799156
"1,2,3-Trihydroxybenzene",0.5887885092246782
2-Oxoarginine,0.5830714077824486
N-Alpha-acetyllysine,0.5804166004600038
Labetalol,0.578566767852673
2-Hydroxy-3-oxoadipate,0.5749463474748611
(S)-1-Phenylethanol,0.5692418705657228
Nalidixic_Acid,0.5646543918952379
Histamine,0.564370642217179
p-Octopamine,0.5640378948027982
3-(2-Hydroxyphenyl)propanoic_acid,0.5613009792884086
Pyroglutamic_acid,0.5512951941801744
Arachidic_acid,0.5507685463207829
Estrone,0.5483146594167234
Cyanuric_acid,0.5479959851982427
Acetylphosphate,0.5466935803186536
Uric_acid,0.5449276594629702
L-Malic_acid,0.5440309276195718
m-Cresol,0.5405013725966952
Alpha-D-Glucose,0.5403196594948041
2-Methyl-3-oxopropanoic_acid,0.5399718381367201
Succinic_acid,0.5393653321252054
2-Benzylmalic_acid,0.5369940847580571
Mefenamic_acid,0.5341870072888908
(2E)-Decenoyl-ACP,0.5323739443819917
(S)-2-Propylpiperidine,0.5298217712424719
Pyridoxine,0.5270477571832614
Ricinoleic_acid,0.5228296708966272
N(6)-Methyllysine,0.5209313645184013
"3,4-Dihydroxybenzeneacetic_acid",0.5209016056364477
Galactitol,0.5206814579536342
3-Hydroxypicolinic_acid,0.520203988907549
Glutaric_acid,0.5147412717711881
Tryptamine,0.514170269882116
L-Cystine,0.5111311488945814
gamma-Glutamylcysteine,0.5053894147228924
5'-Methylthioadenosine,0.5036808277248127
Dodecanedioic_acid,0.503119370403472
"meso-2,6-Diaminoheptanedioate",0.5022211997771293
L-2-Hydroxyglutaric_acid,0.49847372569641735
Bufotenin,0.49404474373175317
L-Isoleucine,0.4889925171547924
L-Tyrosine,0.47985938056063254
1-Pyrroline-4-hydroxy-2-carboxylate,0.46692552805650867
N-Methylhydantoin,0.4662627390316191
Pyrrole-2-carboxylic_acid,0.4529114094814134
D-Psicose,0.4516214732839364
Phenylbutazone,0.4500970643752112
L-beta-Phenylalanine,0.4493516879203322
7-Methylguanine,0.4465447269531182
Imidazoleacetic_acid,0.4442699121336295
4-Guanidinobutanal,0.4423734749506133
2-Oxo-4-methylthiobutanoic_acid,0.441233910848983
Tris(butoxyethyl)phosphate,0.42711898454391867
Niacinamide,0.42668014296015705
"(R)-5,6-Dihydrothymine",0.42477670909458054
L-Arabitol,0.4232025394240948
Dolichotheline,0.4208902896279768
N-Acetyl-L-phenylalanine,0.4182578040522442
Catechol,0.4180348533007438
Homogentisic_acid,0.4152823091780082
Homovanillic_acid,0.4152605177956999
Uracil_5-carboxylate,0.414845225028598
D-Tryptophan,0.41444569741228443
Tetrahydrodipicolinate,0.4141363626357952
D-allo-Isoleucine,0.411539592437488
Gabapentin,0.4110140667480425
Inosine,0.4099858914988459
Mannitol,0.4082454357053301
Indoleacetaldehyde,0.4061190888078771
4-Aminophenol,0.40527667024223823
Phosphoglycolic_acid,0.40446333195563966
Cadaverine,0.40441925073670487
Apigenin,0.40320358606448614
L-Threonine,0.3998920244851921
L-Arogenate,0.39554166075385155
Iminoarginine,0.3933493867663418
Practolol,0.3890669670116832
5-Aminopentanoic_acid,0.3889198307925742
S-Hexyl-glutathione,0.388880208194416
Butyryl-L-carnitine,0.3781994339986208
5-Methylbarbiturate,0.3781920442952272
Indole-3-acetate,0.3743296805728296
alpha-Tocopherol,0.369307630692277
Isovaleric_acid,0.3662921579024781
Pseudouridine,0.36628704423803465
"(Z)-But-1-ene-1,2,4-tricarboxylate",0.3643169283227604
4a-Carbinolamine_tetrahydrobiopterin,0.3588544824651953
(-)-Bornesitol,0.35680982237757347
Gluconic_acid,0.3547391818967141
"N-Methyl-(R,S)-tetrahydrobenzylisoquinoline",0.3543385354072309
3-Methoxyanthranilate,0.35157789973485737
6-Hydroxynicotinic_acid,0.35017619277744416
epsilon-(gamma-L-Glutamyl)-L-lysine,0.3472887678226981
N-Acetylhistidine,0.347180507115103
N-Acetyl-L-2-amino-6-oxopimelate,0.3457146038065249
"(1S,2R,4S)-(-)-Bornyl_acetate",0.34361141699859105
Ribitol,0.3413535286957714
Isochorismate,0.33830643662871535
"(S)-2,3,4,5-tetrahydropyridine-2-carboxylate",0.3377641467003368
D-Proline,0.33717330434536813
Citramalic_acid,0.3343842508291844
3-Hydroxymethylglutaric_acid,0.33018323409634237
4-Hydroxybenzoic_acid,0.3249204285699308
Succinic_acid_semialdehyde,0.3242209025422873
Mannobiose,0.32373718424220543
Phosphohydroxypyruvic_acid,0.32317390470946733
N-Carbamoylputrescine,0.31858207119363025
4-Oxoglutaramate,0.3141194639792839
Cytidine,0.3132808228780782
Epiandrosterone,0.3103757230595128
L-Prolinamide,0.30932216516528316
6-Acetyl-D-glucose,0.30742652160765443
5-Acetamidovalerate,0.3035639284681518
Ornithine,0.3020214442424771
Palmitic_acid,0.30057571696306096
16-Hydroxy_hexadecanoic_acid,0.3002318222203398
2-Hydroxycinnamic_acid,0.29628921398447444
13S-hydroxyoctadecadienoic_acid,0.293022415086553
Leucine,0.2924808701075745
5-Hydroxyindoleacetic_acid,0.28720091656175034
Thymine,0.2852914681289432
L-Glutamic_acid,0.2846217406278317
D-beta-Phenylalanine,0.2845043154422488
Isoniazid,0.2825459581212221
(+)-7-Isojasmonic_acid,0.28077522805833
5-Guanidino-3-methyl-2-oxopentanoate,0.27947847981061585
Desaminotyrosine,0.2784822483919508
Dibutyl_phthalate,0.2776547765132222
Schaftoside,0.2747132351212183
L-Phenylalanine,0.2746940616442584
Tropate,0.26568113213620037
"(2'E,4'Z,8E)-Colneleic_acid",0.26562130045335947
(3R)-beta-Leucine,0.2606208831400113
Senecionine,0.25659612410476984
(3S)-6-Acetamido-3-aminohexanoate,0.25405935131455615
4-Hydroxyphenylpyruvic_acid,0.25388426786193247
Exemestane,0.2514727160789817
Guanosine,0.25105391672566246
1-Pyrroline-2-carboxylic_acid,0.2500900009410383
1-Methylhistidine,0.2497342189954379
D-Arabinose,0.24847539168768878
L-Leucine,0.2464385170694732
2-Hydroxyphenethylamine,0.24558591975801555
Indole,0.2444528146660501
N-Acetyllactosamine,0.2411516705526818
Epsilon-caprolactam,0.23707344122649004
L-Lysine,0.23586894760035276
Vanillic_acid,0.23535515277661445
gamma-Aminobutyric_acid,0.2341576705181219
Stearic_acid,0.22954060282971284
Phenyllactate,0.22919845439549583
Harman,0.22896029260079925
Tetrahydropteridine,0.22832565002299532
"2,3-Butanediol",0.22615542785984513
L-Allothreonine,0.22576551242345266
Diphenylamine,0.22471226522664506
Dethiobiotin,0.224013334836905
4-Hydroxy-3-methoxybenzenemethanol,0.21952185766530533
3-Benzylmalic_acid,0.21875707325082713
Quinate,0.21704382889529766
Metanephrine,0.21636159004311012
Urocanic_acid,0.21602909908557
(S)-N-Methylcoclaurine,0.21588144456054142
5-Hydroxymethyl-2-furancarboxaldehyde,0.2157947749116038
1D-chiro-Inositol,0.2143757897733122
Erucic_acid,0.21367124584259828
L-Iditol,0.20917151757362604
Cuminaldehyde,0.2070850587200435
"D-Gulono-1,4-lactone",0.200644678333292
Indolepyruvate,0.1994752505292048
2-Isopropylmalic_acid,0.19743019583977123
5-(2-Hydroxyethyl)-4-methylthiazole,0.19517644607013634
(6Z)-Octadecenoic_acid,0.1948440927752326
Palmitoleic_acid,0.19286361662850798
9(S)-HPODE,0.19049547552855645
Di-2-propenyl_sulfide,0.19048670060167192
25-Hydroxycholesterol,0.18573631963568002
"2',4'-Dihydroxyacetophenone",0.18530092160529446
N-Acetylhistamine_,0.1829372179604769
5-Hydroxypentanoic_acid,0.17810398720537807
Cholesterol_sulfate,0.1780669841124445
Indoxyl,0.17753567074857798
2-Ketobutyric_acid,0.17491990572211713
Nalpha-Methylhistidine,0.1726262265034901
L-Proline,0.17118553175262605
2-Keto-6-acetamidocaproate,0.17052052549384844
Selegiline,0.16918439632767449
2-Hydroxy-6-pentadecylbenzoic_acid,0.1690046039186987
Isophorone,0.1689443647476879
13-OxoODE,0.16775669638371998
p-Anisic_acid,0.15986776389246665
D-Phenylalanine,0.15849278844385664
Fructose-1P,0.1579154260783106
Vanillylmandelic_acid,0.15701000757755865
Imidazolelactic_acid,0.15613218097235276
Xanthine,0.15366455209557286
"L-2,4-diaminobutyric_acid",0.15356424521533335
Salicyluric_acid,0.14940539659665628
Aminoadipic_acid,0.14897454208683492
D-Fructose,0.1461088535212044
Hydroxykynurenine,0.14498881050317727
Diisobutyl_phthalate,0.14311030447713596
N6-Acetyl-L-lysine,0.14068054113607578
12-Hydroxydodecanoic_acid,0.13991029517908354
Norepinephrine,0.13941945260609886
D-Cathinone,0.1389330214772775
2-Methylbenzoic_acid,0.13803798788619015
Hydrocinnamic_acid,0.13579718728964005
L-Erythrulose,0.13253315372105604
beta-Alanyl-L-lysine,0.1311297379994812
"Fructose_1,6-bisphosphate",0.12747508705246058
"12,13-DHOME",0.12670941890736065
3-Hydroxy-5-methyl-L-tyrosine,0.1259133961910929
"N6,N6,N6-Trimethyl-L-lysine",0.12365035206345275
(S)-Abscisic_acid,0.12061706566411141
(S)-2-Methylmalate,0.12032080268415454
Umbelliferone,0.1198595094451264
(E)-3-(4-Hydroxyphenyl)-2-propenal,0.11798035066962079
7-Mercaptoheptanoylthreonine,0.11205658013911356
"trans-1,2-Cyclohexanediol",0.11064836193833465
4-Hydroxybenzaldehyde,0.10981731389235659
O-Phosphoethanolamine,0.10906290755087827
Phloretin,0.1031630262078166
Aminohydroquinone,0.10283262164673064
L-Tryptophan,0.10196691711618444
Phenylacetic_acid,0.09803315858473424
Isonicotinic_acid,0.09564602808947768
Metyrapone,0.09435091113840599
trans-Cinnamate,0.09289858270558032
2-Deoxystreptamine,0.07068756265166225
6-Aminohexanoate,0.06756321036901608
Cyclohexylamine,0.06238950483331532
Methylmalonic_acid,0.061466470684696045
D-Xylitol,0.05677997594223042
L-Arabinose,0.05671603071532313
N-Acetyl-beta-alanine,0.05465509377654256
11-Dehydrocorticosterone,0.05365542271500885
D-Glucose,0.0510701671910595
Normetanephrine,0.047883201730742266
"7-Isopropyl-1,4-dimethylazulene",0.04200487921520684
